date,id,content,username,likes,retweets,replies
2024-07-03 00:16:00+00:00,1808293579468550211,"Being able to build software is actually so so cool 🚀

On my Japan trip my friend suggested I build a Yen conversion app, so we’ll stop manually calculating prices. I made a quick PWA in an hour while everyone was sleeping the next day.

I could have totally downloaded an already existing app, but I like building things and I was able to make it:

✅ 100% advertisement free
✅ Offline support
✅ UX streamlined for what we needed

I watched my friends use the app throughout the day. I noted times they struggled and was able to change the UX the next day.

The app automatically updated because it was a PWA 🤩 -- super cool feeling to do user testing and surprise people by fixing issues almost right away 😂

It felt very cool to actually use what would normally be a pet project : - )

I'm still jet lagged so I've been polishing a v2 of the app the past few nights:

✅ Created a logo
✅ Added mostly all currencies in addition to USD
✅ Setup a cron job to cache historic prices for the yen conversion chart (Shoutout to @ValDotTown  for the really good DX + docs for creating cron jobs/serverless functions)",kayladotdev,1382,58,51
2024-07-04 17:31:41+00:00,1808916606434603358,@Apple @AppleMusic please bring back iPods,wallace_mwp,0,0,0
2024-07-04 17:31:24+00:00,1808916535500812316,"¡Asegura tu tranquilidad y aprovecha al máximo tus #dispositivos @Apple móviles! Mira cómo.
https://t.co/42Y9wjj8v3

@MacStoreOneline #ZeroTrust https://t.co/OXQzC8sioX",CIOMexico,0,0,0
2024-07-04 17:31:14+00:00,1808916492148486304,My Stupid ass @Apple watch keep pausing during the workout!! wtf,ShardSays,0,0,0
2024-07-04 17:31:00+00:00,1808916431720861744,"June news in #DigitalHealth Digest!
- South Korea first skin cancer detection AI tool by @lifesemantics_
- @dexcom device &amp; @Apple Watch
- Researchers at @Flinders have introduced a #ADHD mobile app
- @HealthTap now accepts insurance
https://t.co/ZgOLFZgYXN",BeKey_Inc,1,1,0
2024-07-04 17:30:04+00:00,1808916199889105117,@LIVIEPRINT @melanierapedme @pillow1215 @Apple no ur just a trvnny,reallwymmdstan,1,0,1
2024-07-04 17:29:44+00:00,1808916115214716983,"Today, @apple aided Russian state censorship and propaganda by removing crucial VPN apps: @ProtonVPN @NordVPN @RedShieldVPN @LeVPN  from the Russian App Store.

Independent media are blocked in Russia. VPN is the only accsess to free information. Why are you doing that? @tim_cook",8metabit,1,1,0
2024-07-04 17:29:04+00:00,1808915946234388781,Verizon reselling @Apple phones with a physical SIM card is a nasty thing to do considering.,smk33578,0,1,0
2024-07-04 17:24:48+00:00,1808914873998315950,In the latest beta update the icons disappear when you switch from dark mode to light mode. @AppleSupport @Apple @appltrack @appleinsider https://t.co/LXRxiVxbOn,craiggomes,0,0,0
2024-07-04 17:23:01+00:00,1808914424448889020,@BNODesk Seriously @Apple  why,namnam2c,2,0,0
2024-07-04 17:22:35+00:00,1808914316864991503,"@Apple WTH?!?!?! You installed the latest update last night and now Siri doesn’t work!!!!!! 😡😡😡

And yes I checked it in settings. Get the damn thing fixed now!!!!!!",debrabee17,0,0,0
2024-07-04 17:17:30+00:00,1808913035274174689,"Hey @lindayaX -

Is @elonmusk still claiming he's banning euphemisms for gen0c1de or was he just saying that to get in the good graces of the @adl?

@HRC @Apple @IBM @Ubisoft @Disney @CocaCola @Uber @UberEats @comcast @TheAthletic",pataz1,0,0,0
2024-07-04 14:10:50+00:00,1808866058574426419,"“Give me liberty 
and give me X!”  

Happy 4th my friends  🇺🇸❤️ https://t.co/4CzQIya8xm",lindayaX,4206,388,337
2024-07-04 17:15:34+00:00,1808912550458691858,"@Apple Surprisingly my iphone13 went bust just 4 days after expiry of my warranty period. So if a phone which costs 60k cannot last for 1 year, what's the point. My earlier samsung phones lasted 4 years without any issues. Apple just wants to earn money by selling sub par phones.",pila_bhala,0,0,0
